amenity,name,latitude,longitude,addr:street
bank,Banco Fassil,-17.7505149,-63.1762421,
bank,Atm BCP,-16.4942026,-68.1318932,
bank,BISA,-17.7847292,-63.1858221,
bank,Fondo Financiero Privado PRODEM,-16.9749989,-65.4207023,
bank,Banco Prodem,-16.1884894,-67.7272744,Coroico
bank,Banco Nacional de Bolivia (Suc. Ché Guevara),-17.8216558,-63.1445105,
bank,Banco Sol,-16.5393192,-68.0782122,La Paz
bank,BNB - Agencia UPSA,-17.7632071,-63.1481306,Santa Cruz de la Sierra
bank,Ganadero,-17.7728373,-63.2024631,
bank,BancoSol,-16.5414922,-68.2310727,
bank,DIACONIA,-14.8587434,-66.7482006,
bank,Económico,-17.7839542,-63.1830923,
bank,Económico,-17.7842867,-63.1828129,
bank,Banco Mercantil Santa Cruz - Agencia,-17.7675127,-63.1437442,Santa Cruz de la Sierra
bank,Banco Prodem,-21.5296692,-64.7205718,Tarija
