st_x,st_y,gid,nombre,distrito,uv,mz,barrio,direccion,estado,categoria,nombre_sept,nivel,point_x,point_y,geom,dependencia,estado_cuarentena,estado_c
486383.62078242,8028611.5696705,42,Mercado Las Orquideas,8,148,29, , , ,Barrial,MERCADO LAS ORQUIDEAS,MINORISTA,-63.1285004915,-17.8300559352,01010000000563AE7BBEAF1D41417B75E470A05E41,GAMSCS,f,0
486431.0291,8036316.9724,7,Mercado Virgen de Lujan,6,ET32,,B. El Arenal, ,Mercado Municipal,Vecinal,MERCADO VIRGEN DE LUJAN,MINORISTA,-63.1280034412,-17.7604085816,0101000000F063CC1D7CB01D4136CD3B3EF7A75E41,GAMSCS,f,0
475906.6983,8028995.9737,35,Mercado San Antonio,10,127,,B. EL Bajio,Av. El Bajio y C/Bibosi,Mercado Privado,Vecinal,MERCADO SAN ANTONIO,MINORISTA,-63.2273684485,-17.8264913620,0101000000C0270FCB0A0C1D41CE1951FED0A05E41,Privado,f,0
478645.0648,8029016.9198,34,Mercado La Cuchilla,10,108,, ,Av. Moscu y C/ 16 de Julio,Mercado Municipal,Vecinal,MERCADO LA CUCHILLA,MINORISTA,-63.2015264001,-17.8263303961,010100000060EE5A42D4361D41D200DE3AD6A05E41,GAMSCS,f,0
477264.1499,8030519.8257,33,Mercado Los Bosques,10,110,, ,Av. Los Bosques. Esq. C/Coridin,Mercado Municipal,Vecinal,MERCADO LOS BOSQUES,MINORISTA,-63.2145417692,-17.8127321408,0101000000B0627F9940211D41D044D8F44DA25E41,GAMSCS,f,0
486669.4214,8028996.0454,50,Mercado copacabana,8,148,,,"Calle 6, Santa Cruz de la Sierra",,vecinal,Mercado copacabana,MINORISTA,-63.1258008997,-17.8265825002,0101000000507B83AF35B41D4167D5E702D1A05E41,GAMSCS,f,0
478352.4721,8032504.1168,71,Cooperativa Societaria 2 de junio Abasto R.L.,4,ET14,,,Santa Cruz de la Sierra,,vecinal,Cooperativa Societaria 2 de junio Abasto R.L.,MINORISTA,-63.2042516998,-17.7948076002,0101000000B02E6EE341321D41B5A679073EA45E41,GAMSCS,f,0
488613.498,8038395.4351,8,Mercado Tito Solari,6,197,23A,Av. Lujan y El Bateon,Av. Lujan y El Bateon,Mercado Municipal,Vecinal,MERCADO TITO SOLARI,MINORISTA,-63.1074038549,-17.7416340224,010100000040B6F3FD95D21D41ACADD8DBFEA95E41,GAMSCS,f,0
485948.5225,8032157.9734,74,"Mercado ""Coarco""",7,86,E10B,,Santa Cruz de la Sierra,,vecinal,"Mercado ""Coarco""",,-63.1325829002,-17.7979980002,0101000000703D0A17F2A81D41832F4C7EE7A35E41,GAMSCS,f,0
481500.1923,8028616.7903,70,26 de Abril,9,106,69B,,"Tamarindo Seco, Santa Cruz de la Sierra",,vecinal,26 de Abril,,-63.1745861998,-17.8299729997,0101000000904AEAC470631D417446943272A05E41,GAMSCS,f,0
