id,nombre_lugar,id_distrito,fecha,geom,point_x,point_y,uv,nombre
189,MERCADO MOVILES,10,2020-04-21,0101000000F0CDF452F4061D415F13AA6146A05E41,-63.2304477236,-17.8314992625,138,Distrito Urbano 10
190,MERCADO MOVILES,10,2020-04-21,010100000080E6F8A8CB0E1D41DA275869CCA15E41,-63.2256940593,-17.8174032850,127,Distrito Urbano 10
191,MERCADO MOVILES,10,2020-04-21,010100000060E2A21A1D011D41D8FCD0B2FFA05E41,-63.2339666518,-17.8247949529,138,Distrito Urbano 10
192,MERCADO MOVILES,10,2020-04-21,0101000000703ADC4E07031D41A91FACFC83A25E41,-63.2327919343,-17.8107577886,ET47,Distrito Urbano 10
193,MERCADO MOVILES,10,2020-04-21,0101000000E0A0423560F91C41DC52DF47F3A15E41,-63.2386282863,-17.8159826074,ET48,Distrito Urbano 10
194,MERCADO MOVILES,5,2020-04-21,010100000000C716FA5C481D41B8F582C8CCAB5E41,-63.1908287226,-17.7248695661,331,Distrito Urbano 5
195,MERCADO MOVILES,5,2020-04-21,0101000000A5A78910D24A1D4181C336E33AAC5E41,-63.1893412127,-17.7208901382,331,Distrito Urbano 5
196,MERCADO MOVILES,5,2020-04-21,01010000007038B1C71C611D41D4A6C28553AB5E41,-63.1758937478,-17.7292677458,ET26,Distrito Urbano 5
197,MERCADO MOVILES,5,2020-04-21,0101000000A015D6CD4F651D41A39E169113AC5E41,-63.1733522012,-17.7223265622,ET26,Distrito Urbano 5
198,MERCADO MOVILES,5,2020-04-21,010100000004D9166B2D591D41E5E6773557AC5E41,-63.1806742275,-17.7198743324,333,Distrito Urbano 5
199,MERCADO MOVILES,5,2020-04-21,0101000000E0A042B5FD7A1D4130368513B8AA5E41,-63.1602773692,-17.7349013422,ET30,Distrito Urbano 5
200,MERCADO MOVILES,5,2020-04-21,0101000000D0F425DB70801D415DE8221B6FAB5E41,-63.1569817869,-17.7282864843,ET29,Distrito Urbano 5
201,MERCADO MOVILES,5,2020-04-21,0101000000B044B372BC8B1D417E98952B25AB5E41,-63.1501657612,-17.7309649965,78,Distrito Urbano 5
203,MERCADO MOVILES,4,2020-04-21,010100000020012886F3501D416C15D5E895A35E41,-63.1857232031,-17.8009044543,9,Distrito Urbano 4
204,MERCADO MOVILES,4,2020-04-21,0101000000403230B22A4B1D411C883D3296A35E41,-63.1892163255,-17.8008907397,9,Distrito Urbano 4
205,MERCADO MOVILES,11,2020-04-21,0101000000A0C1F2A76F451D411EB3C488E3A35E41,-63.1926739326,-17.7980911993,29,Distrito Urbano 11
206,MERCADO MOVILES,1,2020-04-21,0101000000C046DE7999411D41C0F87A8C50A55E41,-63.1949764406,-17.7848917606,11,Distrito Urbano 1
207,MERCADO MOVILES,3,2020-04-21,01010000001053E0A4A2721D41F9AC43CB33A35E41,-63.1653853317,-17.8044700859,25,Distrito Urbano 3
209,MERCADO MOVILES,4,2020-04-21,0101000000608C946D0D641D41288A68097DA25E41,-63.1741982324,-17.8110700494,ET9,Distrito Urbano 4
210,MERCADO MOVILES,4,2020-04-21,0101000000D0F4255BAC5E1D41F10027D189A25E41,-63.1774463442,-17.8106050575,26,Distrito Urbano 4
211,MERCADO MOVILES,4,2020-04-21,010100000090BD9C198E491D4184192B6F7FA25E41,-63.1902002805,-17.8109684580,ET12,Distrito Urbano 4
212,MERCADO MOVILES,4,2020-04-21,0101000000E0CBC94B71411D41886F396C8FA25E41,-63.1950989095,-17.8103855664,51,Distrito Urbano 4
