Departamento,Tipo,Nombre ,Direccion,Telefono,Latitud,Longitud,Fuente
Oruro,Alimentos,Mercado movil-GAM Oruro,"Rieles, Urb. Milenium, Pampitas y Urb. aledañas",null,-17.925030,-67.111083,web
Oruro,Alimentos,Mercado movil-GAM Oruro,"Villa Dorina, Huajara, Camino a Capachos",null,-17.933731,-67.090892,web
Oruro,Alimentos,Mercado movil-GAM Oruro,"Luis Espinal, Urb. Paraíso y Urb. aledañas",null,-17.946841,-67.070336,web
Oruro,Alimentos,Mercado movil-GAM Oruro,"9 de Junio, Urb. Paraíso I y II, 15 de julio y aledañas",null,-18.001566,-67.107581,web
La Paz,Alimentos,Fridosa, ,65073070-70811426,null,null,web
La Paz,Alimentos,Carne cerrada al vacio, ,75888507-60115517,null,null,web
Cochabamba,Alimentos,Carla Mamani, ,77938392,null,null,web
Cochabamba,Alimentos,Agua Rica, ,70719564,null,null,web
La Paz,Alimentos,OSFIM, ,75800080,null,null,web
La Paz,Alimentos,Mercasa, ,76231713 - 69939108 - 79577770,null,null,web
La Paz,Alimentos,Agua La Montaña, ,2770777 - 2124847 - 67109994,null,null,web
La Paz,Alimentos,Botimbo, ,62441000,null,null,web
La Paz,Alimentos,Delizia, ,78988113 -76596444,null,null,web
La Paz,Alimentos,Delizia, ,69720522 - 78988064,null,null,web
Cochabamba,Alimentos,Delizia, ,76760432 - 69801121,null,null,web
Santa Cruz,Alimentos,Delizia, ,75852322 - 75005455,null,null,web
La Paz,Alimentos,Cosas Ricas, ,76759797,null,null,web
La Paz,Alimentos,Sofía, ,78445000,null,null,web
La Paz,Alimentos,Fridosa, ,79678258,null,null,web
La Paz,Alimentos,Imba, ,61224816,null,null,web
La Paz,Alimentos,Imba, ,75246197,null,null,web
La Paz,Alimentos,Rio Costa, ,22774618 - 70120091,null,null,web
La Paz,Alimentos,Stege, ,2850070 - 70118765 - 70193043,null,null,web
La Paz,Alimentos,Torito, ,2850070 - 70118765 - 70193043,null,null,web
Chuquisaca,Alimentos,Oqharikuna,Tarapaca No. 59,6460221,null,null,web
Cochabamba,Alimentos,Pollito Rico, ,68582392 - 71790762 - 4381596,null,null,web
Cochabamba,Alimentos,VerduExpress, ,60745157 - 4223444,null,null,web
Cochabamba,Alimentos,null, ,60738726,null,null,web
Cochabamba,Alimentos,DAADSMARKET, ,69418282 - 69418222,null,null,web
Cochabamba,Alimentos,Carnes A costo, ,77442620,null,null,web
Cochabamba,Alimentos,null, ,75992239,null,null,web
Cochabamba,Alimentos,null, ,72776916 - 69413053,null,null,web
La Paz,Alimentos,Delizia,Condominio Alemán y Los Girasoles,null,null,null,web
La Paz,Alimentos,Delizia,"Hipermaxi calle 31, Claveles",null,-16.519260,-68.062403,web
La Paz,Alimentos,Delizia,"Meseta de Achumani, Condominio Jacaranda",null,-16.530628,-68.051799,web
La Paz,Alimentos,Delizia,"Los Álamos, IV Centenario",null,null,null,web
La Paz,Alimentos,Delizia,Ex Fábrica SAID,null,-16.485263,-68.148998,web
La Paz,Alimentos,Delizia,Porvenir,null,-16.536546,-68.071711,web
La Paz,Alimentos,Delizia,Plaza Principal,null,-16.499900,-68.090578,web
La Paz,Alimentos,Delizia,Sector Las Nieves,null,-16.516515,-68.083866,web
La Paz,Alimentos,Delizia,Puente Koani,null,-16.536488,-68.081058,web
Cochabamba,Alimentos,Productos PIL, ,72208203,null,null,web
Cochabamba,Alimentos,Delizia, ,76760432-69801121,null,null,web
Cochabamba,Alimentos,Quesería Julia, ,67559916-72262162,null,null,web
Cochabamba,Alimentos,Avicola Rolon, ,79968649,null,null,web
Cochabamba,Alimentos,Verduras 36, ,79790490,null,null,web
Cochabamba,Alimentos,Daadsmarket, ,69418282,null,null,web
Cochabamba,Alimentos,Verdu Express, ,60745157,null,null,web
Cochabamba,Alimentos,Eco Kawsay, ,72219761-73772138,null,null,web
Cochabamba,Alimentos,Camion verdura, ,71758486-76460289,null,null,web
Cochabamba,Alimentos,Camion, ,69455988,null,null,web
Cochabamba,Alimentos,La Case, ,67555737,null,null,web
Cochabamba,Alimentos,Shopping onlin, ,61592695-60791611,null,null,web
Cochabamba,Alimentos,GranOro, ,70761913-4450293,null,null,web
Cochabamba,Alimentos,Pollito Rico, ,68582392-71790762,null,null,web
Cochabamba,Alimentos,Imba, ,74162391,null,null,web
Cochabamba,Alimentos,Avicultores, ,65346313-78307145,null,null,web
Cochabamba,Alimentos,Vito Rivera, ,67402933-72208171,null,null,web
Cochabamba,Alimentos,Hoy Cerdo, ,75973212,null,null,web
Cochabamba,Alimentos,Granja, ,71747451,null,null,web
Cochabamba,Alimentos,Nelore Carnes, ,70746781,null,null,web
Cochabamba,Alimentos,Carnes a costo, ,77442620,null,null,web
Cochabamba,Alimentos,Zelada, ,60395008-60705004,null,null,web
Cochabamba,Agua,Agua Rica, ,4244721-4430410,null,null,web
Cochabamba,Agua,natureza, ,70700891,null,null,web
Cochabamba,Agua,Eco Pura, ,72748678,null,null,web
Cochabamba,Alimentos,Favi Hogar, ,65746512,null,null,web
Cochabamba,Alimentos,Jarto 100 Bs, ,75488446,null,null,web
Cochabamba,Alimentos,Mayor a 150 Bs, ,69063762,null,null,web
Cochabamba,Alimentos,Tosi Bolivia, ,65739444,null,null,web
Cochabamba,Alimentos,Se lo llevo, ,69424447,null,null,web
Cochabamba,Alimentos,Comida rapida, ,79969727,null,null,web
Cochabamba,Alimentos,Cowork Café, ,4234200,null,null,web
Cochabamba,Alimentos,Compromax, ,75996900,null,null,web
La Paz,Alimentos,Personas Encerradas pero Solidarias,"calle 13, complejo strongest",78896500 - 77268029,null,null,web
La Paz,Alimentos,Personas Encerradas pero Solidarias,colegio pedro poveda,79454215,-16.510360,-68.112718,web
La Paz,Alimentos,Personas Encerradas pero Solidarias,rotonda,75859725,null,null,web
La Paz,Alimentos,Personas Encerradas pero Solidarias,cotel entrada a achumani,63079099,null,null,web
La Paz,Alimentos,Personas Encerradas pero Solidarias,"calle 33, av retamas c. 33",70545686 - 76708748,-16.543788,-68.059585,web
La Paz,Alimentos,Personas Encerradas pero Solidarias,Calle 25B,75859725,-16.543162,-68.070743,web
La Paz,Alimentos,Personas Encerradas pero Solidarias,urbanizacion marisol,70136280,null,null,web
La Paz,Alimentos,Personas Encerradas pero Solidarias,"entre iturralde y haiti, calle cuba hipermaxi",70575736 - 77737939,null,null,web
La Paz,Alimentos,Personas Encerradas pero Solidarias,calle 13,77292261 - 60570851,null,null,web
La Paz,Alimentos,Personas Encerradas pero Solidarias,Plaza Ergueta,75837739,-16.494775,-68.100551,web
La Paz,Alimentos,Personas Encerradas pero Solidarias,Teatro al Aire Libre,77268652,-16.503562,-68.127773,web
La Paz,Alimentos,Personas Encerradas pero Solidarias,Sindicato Simon Bolivar,78835331,-16.497921,-68.108840,web
La Paz,Alimentos,Personas Encerradas pero Solidarias,Plaza Adela Zamudio,77504019 - 60559536,-16.517934,-68.129311,web
La Paz,Alimentos,Personas Encerradas pero Solidarias,parada 3 viejas,77233997,null,null,web
Santa Cruz,Alimentos,Ciudadanos en acción,calle libertad entre buenos aires y seoane nro. 349,77053808,null,null,web
Santa Cruz,Alimentos,Ciudadanos en acción,av. el mechero  calle 2,60099484,-17.826331,-63.130843,web
Santa Cruz,Alimentos,Ciudadanos en acción,"8vo anillo, avenida moscu, calle juan",60809417,null,null,web
Santa Cruz,Alimentos,Ciudadanos en acción,"6to anillo, barrio españa, uv. 53, calle madrid",77366860,null,null,web
Santa Cruz,Alimentos,Ciudadanos en acción,"avenida 16 de julio y 3 pasos al frente, exactamente en el surtidor dicor",77396446,-17.802087,-63.127853,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Av. América esq. Av. Beijing,4 4258030,-17.371400,-66.180215,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Av. Juan de la Rosa esq. Av. Beijing,4 4258030,-17.374568,-66.180773,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Av. América esq. Av. Thunupa,4 4258030,-17.370928,-66.188581,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Av. Thunupa esq. Av. Villa Vicencio,4 4258030,-17.379503,-66.188414,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Av. Villa Vicencio esq. Av. Dorbigni,4 4258030,-17.385931,-66.185935,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Av. Tadeo Haenke esq. Av. Beijing,4 4258030,-17.383027,-66.181772,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Av. Beijing esq. calle Apurimak,4 4258030,-17.378819,-66.181347,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Av. Thunupa esq. calle Yuracaré,4 4258030,-17.374128,-66.187221,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Calle Chipaya esq. Apurimak,4 4258030,-17.378487,-66.185751,web
Cochabamba,Alimentos,Mercado movil-GAM Cochabamba,Av. Villa Vicencio esq. calle Luis Zegarra,4 4258030,-17.376146,-66.192446,web
Cochabamba,Alimentos,Mercado movil-GAM Colcapirhua,Kanaudt,null,-17.376629,-66.215999,web
Cochabamba,Alimentos,Mercado movil-GAM Colcapirhua,Urbanizacion La Paz,null,-17.399556,-66.221412,web
Cochabamba,Alimentos,Mercado movil-GAM Colcapirhua,ELFEC y Cucardas,null,-17.405482,-66.221721,web
Cochabamba,Alimentos,Mercado movil-GAM Colcapirhua,Lirios del Sur,null,null,null,web
Cochabamba,Alimentos,Mercado movil-GAM Colcapirhua,Santa Rosa Central,null,-17.391930,-66.221381,web
Cochabamba,Alimentos,Mercado movil-GAM Colcapirhua,Elizabeth Seton,null,-17.395461,-66.208410,web
Cochabamba,Alimentos,Mercado movil-GAM Colcapirhua,Oasys,null,-17.392370,-66.212549,web
Cochabamba,Alimentos,Mercado movil-GAM Colcapirhua,Libertador Bolivar,null,-17.393291,-66.236219,web
Cochabamba,Alimentos,Mercado movil-GAM Colcapirhua,Sumumpaya central,null,-17.393740,-66.230906,web
Cochabamba,Alimentos,Mercado movil-GAM Colcapirhua,Senac,null,-17.384059,-66.229198,web
Cochabamba,Alimentos,Mercado movil-GAM Colcapirhua,Emergencia Norte,null,null,null,web
Cochabamba,Alimentos,Mercado movil-GAM Colcapirhua,21 de Septiembre,null,-17.398154,-66.249711,web
Cochabamba,Alimentos,Mercado movil-GAM Colcapirhua,Colcapirhua Sud,null,-17.393669,-66.242884,web
Cochabamba,Alimentos,Mercado movil-GAM Colcapirhua,Calamina,null,null,null,web
Cochabamba,Alimentos,Mercado movil-GAM Colcapirhua,Sindicato Agrario Esquilan Grande,null,-17.409106,-66.244881,web
