Departamento,Alcance,Descripcion del alcance,Latitud,Longitud,Dirección,Tipo de proveedor,Nombre ,Tipo de servicios o productos,Servicios o productos,Dias y horarios de atención,Telefonos,A domicilio,Verificado
Cochabamba,Zonal,Subalcaldía Tunari,-17.359252,-66.172070,Av. Circunvalación y Melchor Peréz,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Tunari,-17.354623,-66.180253,"OTB Colquiri Norte, sede",Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Tunari,-17.357259,-66.165183,Av. Hernán Siles y Porfirio Diaz Machicado,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Tunari,-17.361927,-66.161077,Av. Atahuallpa y Mostajo,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Tunari,-17.363155,-66.151708,Av. Luis Calvo y Zarzamora,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Itocta,-17.473767,-66.120883,Kara Kara lado colegio Juancito Pinto tinglado - D15,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Itocta,-17.466753,-66.145647,"Pampa San Miguel, final Av. Autonomía, tinglado - D15",Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Itocta,-17.471945,-66.130232,Kara Kara - D15,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Itocta,-17.476704,-66.121129,Villaflores - D15,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Itocta,-17.481132,-66.124550,Ichucollo - D15,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Itocta,-17.491074,-66.177283,OTB Paz Nueva Jerusalen - D9,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Itocta,-17.467023,-66.204130,"Colegio 1 de Mayo, cerca plaza vecinal - D9",Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Itocta,-17.457944,-66.185038,"Itocta, templo frente al colegio - D9",Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Itocta,-17.483958,-66.159673,"OTB Villa Oropeza, Cobol cerca colegio - D9",Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Itocta,-17.482268,-66.180290,"OTB 21 de septiembre, tinglado - D9",Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Itocta,-17.472719,-66.182749,"Sivingani, entrada lado del colegio - D9",Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Itocta,-17.452255,-66.202087,"Pucarita Chica, lado del colegio - D9",Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Itocta,-17.453885,-66.244445,Albarrancho - D9,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Itocta,-17.451919,-66.231451,Caico - D9,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Itocta,-17.492215,-66.161410,Cobol - D9,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Itocta,-17.494817,-66.177233,Villa Israel - D9,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Itocta,-17.458082,-66.202617,Pucara - D9,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Itocta,-17.468847,-66.125691,Villa Rosario - D9,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Itocta,-17.441523,-66.200860,Pucarita Chica Urb - D9,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
Cochabamba,Zonal,Subalcaldía Itocta,-17.500668,-66.177972,Lomas de Panamericana - D9,Público,Mercado movil-GAM Cochabamba,Alimentos,"Verduras, frutas",Lunes a viernes. 7:00 a 12:00,4 4258030,Si,Si
