Departamento,Alcance,Descripcion del alcance,Latitud,Longitud,Dirección,Tipo de proveedor,Nombre ,Tipo de servicios o productos,Servicios o productos,Dias y horarios de atención,Telefonos,A domicilio,Verificado
La Paz,Municipal,La Asunta,-16.125070,-67.194475,Avenida Rene Barrientos S.N.,Empresa,BANCO PRODEM,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,La Asunta,-16.127574,-67.194246,AV.RENE BARRIENTOS ORTUÑO entre 1 de Enero y Oswa,Empresa,SEMBRAR SARTAWI,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,La Paz,NA,NA,"AVENIDA CAMACHO Nø 1377-1389 ESQ.CALLE LOAYZA, ZO",Empresa,BANCO ECOFUTURO,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,La Paz,-16.502531,-68.132431,AV 16 DE JULIO N 1642 ESQ LADISLAO CABRERA,Empresa,BANCO FASSIL,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,La Paz,-16.540765,-68.079348,Calle Montenegro Nro. 1454 Bloque B3 Zona San Mig,Empresa,BANCO FIE,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,La Paz,-16.501674,-68.136754,C. General Gonzales No.1272,Empresa,BANCO FIE,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,La Paz,-16.546458,-68.076541,Calle 21 Calacoto esq Av. Costanera sn,Empresa,BANCO FORTALEZA,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,La Paz,-16.477264,-68.119601,Av. Las Americas No.353,Empresa,BANCO FORTALEZA,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,La Paz,-16.512891,-68.120679,Av. Arce n§ 2799 esq. Cordero,Empresa,BANCO FORTALEZA,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,La Paz,-16.501170,-68.133181,Av.16 de Julio No.1440 (Plaza Venezuela),Empresa,BANCO FORTALEZA,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,La Paz,NA,NA,"Av. Camacho No.xxx, esq. Colon",Empresa,BANCO PRODEM,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,La Paz,-16.498776,-68.134214,Av. Montes N. 515,Empresa,BANCO PRODEM,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,La Paz,-16.501545,-68.133100,"Avenida 16 de Julio Nro 1544, El Prado",Empresa,BANCO UNION,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,La Paz,-16.499464,-68.133214,Av. Camacho Nø 1416 esq. calle Loayza,Empresa,BANCO UNION,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,La Paz,-16.545125,-68.076870,"C.JOSE AGUIRRE ACHA,NRO.8484,C.21,ESQUINA JOS MA",Empresa,BANCO UNION,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,La Paz,-16.497962,-68.139112,C. Sagarnaga No. 547 EDIF. MARIA.ENTRE CALLE MAX,Empresa,COOP. LA SAGRADA FAMILIA,Servicios Financieros,Transacciones bancarias,null,null,No,Si
La Paz,Municipal,La Paz,-16.502297,-68.122036,"AV.SAAVEDRA N.1975,ED.MIRAFLORES ENTRE VILLALOBOS",Empresa,COOP. SAN MARTIN DE PORRES,Servicios Financieros,Transacciones bancarias,null,null,No,Si
