type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/codigoSIE,properties/ue1,properties/ue2,properties/ue3,properties/ue4,properties/ue5,properties/Nombre,properties/Direccion,properties/CodMacro,properties/CodDistrito,properties/Zona,properties/IdTipo,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones
Feature,educacionpublica.181,Point,-68.13451372,-16.49573748,geom,80730119,Adolfo Siles Salinas, 20 de Octubre - CEA ,José Agustín Castrillo,,,ADOLFO SILES SALINAS,C. Comercio,1,1,CENTRAL,5,1,,clara.revollo,2016-06-11T22:22:16.310Z,
Feature,educacionpublica.182,Point,-68.11949321,-16.50948744,geom,80730131,Eloy Salmón,Manuel Vicente Ballivián,,,,ELOY SALMON,Av. Saavedra,1,2,MIRAFLORES,,2,,clara.revollo,2016-06-11T22:23:29.237Z,
Feature,educacionpublica.183,Point,-68.13433882,-16.49423133,geom,80730125,San Simón Ayacucho A,San Simón Ayacucho B,,,,SAN SIMON AYACUCHO A,C. Yanacocha,1,1,CENTRAL,,1,,clara.revollo,2016-06-11T22:24:43.510Z,
Feature,educacionpublica.184,Point,-68.13488453,-16.49421329,geom,80730123,Venezuela A,Venezuela B,Venezuela C,,,VENEZUELA A,C. Genaro Sanjinez,1,1,CENTRAL,,1,,clara.revollo,2016-06-11T22:25:20.710Z,
Feature,educacionpublica.185,Point,-68.14062841,-16.49009393,geom,80730055,1ro de Mayo,Espada,,,,1RO DE MAYO,C. Illimani,4,11,CHALLAPAMPA,,11,,clara.revollo,2016-06-11T22:26:15.517Z,
Feature,educacionpublica.186,Point,-68.13805454,-16.49574799,geom,80730030,Escuela Integral de Sordos,Mariscal Andrés de Santa Cruz,Nuestra Señora de Copacabana,,,ESCUELA INTEGRAL DE SORDOS,C. Santa Cruz de la Sierra,1,1,SAN SEBASTIÁN,,1,,clara.revollo,2016-06-11T22:28:26.743Z,
Feature,educacionpublica.187,Point,-68.14128093,-16.49611913,geom,80730028,Boliviano Alemán - CEA, Gualberto Villarroel IIV - CEA ,Gualberto Villarroel I,Gualberto Villarroel II,Gualberto Villarroel III,CEA BOLIVIANO ALEMAN,Av. Isaac Tamayo,1,1,EL ROSARIO,5,1,,clara.revollo,2016-06-11T22:29:45.143Z,
Feature,educacionpublica.188,Point,-68.14807295,-16.48398547,geom,80730042,Eloy Alvarez Plata,Fabril 18 de Mayo,,,,ELOY ALVAREZ PLATA,C. Vicente Ascarrunz,7,10,PURA PURA,,10,,clara.revollo,2016-06-11T22:31:42.330Z,
Feature,educacionpublica.189,Point,-68.1116624,-16.52609997,geom,807304331,IRI Instituto de Rehabilitación Infantil,,,,,UE IRI,C. Roberto Jordán Cuellar,5,21,SUR,,21,,clara.revollo,2016-06-11T22:33:10.027Z,
Feature,educacionpublica.190,Point,-68.14686872,-16.50351503,geom,80730016,Daniel Sanchez Bustamante - CEA, Daniel Sanchez Bustamante  IV - CEA ,Daniel Sanchez Bustamante  I,Daniel Sanchez Bustamante  II,Humberto Quezada A,CEA DANIEL SANCHEZ BUSTAMANTE,Av. Guillermo Bernhard Kyllmann,3,5,VILLA NUEVO POTOSÍ,5,5,,clara.revollo,2016-06-11T22:35:18.367Z,
