type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Direccion,properties/Ruta
Feature,paradaspumakatari.365,Point,-68.13848325,-16.48435655,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.366,Point,-68.1380439,-16.48461444,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.367,Point,-68.13657065,-16.48585223,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.368,Point,-68.13710882,-16.48584929,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.369,Point,-68.13431897,-16.48575925,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.370,Point,-68.1338498,-16.48570823,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.371,Point,-68.13142187,-16.48699595,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.372,Point,-68.13078888,-16.48696059,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.373,Point,-68.128539,-16.48525066,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.374,Point,-68.12847595,-16.48485903,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.375,Point,-68.12947781,-16.4829893,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.376,Point,-68.12938192,-16.48286598,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.377,Point,-68.1280572,-16.48041996,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.378,Point,-68.1283353,-16.47998448,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.379,Point,-68.1277305,-16.47817464,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.380,Point,-68.12769339,-16.47796792,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.381,Point,-68.12628165,-16.47734844,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.382,Point,-68.12638074,-16.47709007,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.383,Point,-68.1267789,-16.47519266,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.384,Point,-68.12669462,-16.47481977,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.385,Point,-68.12433579,-16.47400545,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.386,Point,-68.1244477,-16.47401418,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.387,Point,-68.12242419,-16.47105444,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.388,Point,-68.12243807,-16.47087781,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.389,Point,-68.12247765,-16.46943509,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.390,Point,-68.12229176,-16.46911424,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.391,Point,-68.12009674,-16.46845234,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.392,Point,-68.11996545,-16.46842153,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.393,Point,-68.11934171,-16.46618037,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.394,Point,-68.11909307,-16.46602034,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.395,Point,-68.11768735,-16.46462866,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.396,Point,-68.11803385,-16.46454709,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.397,Point,-68.11557816,-16.46542737,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.398,Point,-68.11538333,-16.46547215,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.399,Point,-68.11312962,-16.4644419,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.400,Point,-68.11324771,-16.46433379,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.401,Point,-68.1093487,-16.46242267,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.402,Point,-68.1079794,-16.46187002,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.403,Point,-68.10573714,-16.46031274,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.404,Point,-68.10570818,-16.46019662,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.405,Point,-68.1039856,-16.45960482,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.406,Point,-68.10376474,-16.45954972,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.407,Point,-68.1038096,-16.46065654,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.408,Point,-68.1038174,-16.46053669,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.409,Point,-68.10652603,-16.46209145,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.410,Point,-68.10642027,-16.46188585,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.411,Point,-68.10895242,-16.46413529,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.412,Point,-68.10944696,-16.46435143,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.413,Point,-68.11084035,-16.46596045,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.414,Point,-68.11123818,-16.46654274,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.415,Point,-68.11325514,-16.46766568,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.416,Point,-68.1133348,-16.46780711,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.417,Point,-68.11627414,-16.46845955,Shape, ,RUTA INTEGRADORA
Feature,paradaspumakatari.418,Point,-68.11617441,-16.46923535,Shape, ,RUTA INTEGRADORA
