type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Administracion,properties/IdTipo,properties/Tipo,properties/Macrodistrito,properties/CodDistrito,properties/IdCategoria,properties/Categoria,properties/Zona,properties/Codigo,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones
Feature,camposdeportivos.288,Point,-68.09251606,-16.54860711,geom,Las Cholas,Av. Ibsen Peña ,DIRECCION DE DEPORTES,10,FUTBOL SALA,SUR,19,3,C,LA FLORIDA,360,18,,juan.alba,2016-06-07T02:35:09.683Z,
Feature,camposdeportivos.289,Point,-68.10006945,-16.52491413,geom,Huanu Huanuni,C. 4,JUNTA VECINAL,14,POLIFUNCIONAL,SUR,21,3,C,EL GRAMADAL,342,21,,gustavo.nao,2018-09-12T20:01:38.743Z,
Feature,camposdeportivos.290,Point,-68.11402635,-16.52316292,geom,Fronton Municipal,Av. Heroes del Acre,DIRECCION MUNICIPAL DE DEPORTES,7,FRONTON,SUR,21,3,C,OBRAJES,375,21,,gustavo.nao,2018-09-12T20:01:33.080Z,
Feature,camposdeportivos.291,Point,-68.09275643,-16.54356757,geom,Las Cholas,Av. Costanera,EMAVERDE,3,BEACH VOLY,SUR,19,2,B,LA FLORIDA,377,18,,juan.alba,2016-06-07T02:36:17.863Z,
Feature,camposdeportivos.292,Point,-68.09284502,-16.54374016,geom,Las Cholas,Av. Costanera,EMAVERDE,3,BEACH VOLY,SUR,19,2,B,LA FLORIDA,378,18,,juan.alba,2016-06-07T02:36:03.753Z,
Feature,camposdeportivos.293,Point,-68.09260534,-16.54364243,geom,Las Cholas,Av. Costanera,EMAVERDE,3,BEACH VOLY,SUR,19,2,B,LA FLORIDA,379,18,,juan.alba,2016-06-07T02:36:35.533Z,
Feature,camposdeportivos.294,Point,-68.09269315,-16.54381222,geom,Las Cholas,Av. Costanera,EMAVERDE,3,BEACH VOLY,SUR,19,2,B,LA FLORIDA,380,18,,juan.alba,2016-06-07T02:36:55.857Z,
Feature,camposdeportivos.296,Point,-68.09307431,-16.54609752,geom,Alto la Florida 2,Av. Circunvalación,JUNTA VECINAL,14,POLIFUNCIONAL,SUR,19,3,C,ALTO LA FLORIDA,395,18,,gustavo.nao,2018-09-12T19:58:08.073Z,
Feature,camposdeportivos.297,Point,-68.03837481,-16.53160045,geom,Trincha Casegural,Av. Circunvalación,JUNTA VECINAL,12,MINI FUTBOL,SUR,19,3,C,LA TRINCHA,398,19,,nhuanquiri,2016-07-02T22:23:37.893Z,
Feature,camposdeportivos.298,Point,-68.04224054,-16.52801412,geom,Wilakota 2,0,JUNTA VECINAL,8,FUTBOL,SUR,22,3,C,WILAKOTA,399,19,,gustavo.nao,2018-09-12T19:57:53.737Z,
