type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/OBJECTID_1,properties/OBJECTID,properties/LAYER,properties/Nombre,properties/Direccion,properties/Zona,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones,geometry
Feature,edificios.1411,Point,-68.06164656,-16.51837985,geom,4394,12118,EDIFICIOS,Edificio Viareggio,,,18,,,,,
Feature,edificios.1412,Point,-68.13398658,-16.49851968,geom,4395,12119,EDIFICIOS,Edificio Vicente Burgaleta,,,1,,,,,
Feature,edificios.1413,Point,-68.12870428,-16.5058662,geom,4396,732,EDIFICIOS,Edificio Villa Elena,,,1,,,,,
Feature,edificios.1414,Point,-68.08531722,-16.53883574,geom,4397,12120,EDIFICIOS,Edificio Villa Jardin,,,18,,,,,
Feature,edificios.1415,Point,-68.0662945,-16.54400286,geom,4398,12122,EDIFICIOS,Edificio Villa Laura,,,18,,,,,
Feature,edificios.1416,Point,-68.11859909,-16.50281136,geom,4399,12123,EDIFICIOS,Edificio Villalobos Bloque A,,,2,,,,,
Feature,edificios.1417,Point,-68.11860746,-16.50326707,geom,4400,12124,EDIFICIOS,Edificio Villalobos Bloque B,,,2,,,,,
Feature,edificios.1418,Point,-68.13399221,-16.49885446,geom,4401,12125,EDIFICIOS,Edificio Villanueva,,,1,,,,,
Feature,edificios.1419,Point,-68.08702019,-16.52334546,geom,4402,12126,EDIFICIOS,Edificio Villanueva,,,18,,,,,
Feature,edificios.1420,Point,-68.12846067,-16.49599867,geom,4403,12127,EDIFICIOS,Edificio Virgen de Concepsion,,,11,,,,,
Feature,edificios.1421,Point,-68.12454996,-16.49240763,geom,4404,12128,EDIFICIOS,Edificio Virgen de Copacabana Bloque II,,,2,,,,,
Feature,edificios.1422,Point,-68.12452214,-16.49265094,geom,4405,12129,EDIFICIOS,Edificio Virgen de Copacabana Bloque III,,,2,,,,,
Feature,edificios.1423,Point,-68.12206731,-16.49778549,geom,4406,12130,EDIFICIOS,Edificio Virgilio,,,2,,,,,
Feature,edificios.1424,Point,-68.09038001,-16.5417085,geom,4407,12131,EDIFICIOS,Edificio Vitruvio,,,18,,,,,
Feature,edificios.1425,Point,-68.14031742,-16.49345286,geom,4408,534,EDIFICIOS,Edificio Walvic,,,1,,,,,
Feature,edificios.1426,Point,-68.13201665,-16.51097163,geom,4409,12132,EDIFICIOS,Edificio Wigger,,,3,,,,,
Feature,edificios.1427,Point,-68.1293116,-16.50336661,geom,4410,12133,EDIFICIOS,Edificio Yocapri III,,,1,,,,,
Feature,edificios.1428,Point,-68.12208866,-16.48633452,geom,4411,12134,EDIFICIOS,Edificio Yocapri II,,,2,,,,,
Feature,edificios.1429,Point,-68.07712037,-16.54270489,geom,4412,12135,EDIFICIOS,Edificio Zap,,,18,,,,,
Feature,edificios.1430,Point,-68.06114866,-16.5152157,geom,4413,12136,EDIFICIOS,Edificio Zaragoza,,,18,,,,,
Feature,edificios.1431,Point,-68.13488233,-16.51288323,geom,4414,12137,EDIFICIOS,Edificio Zarate,,,3,,,,,
Feature,edificios.1432,Point,-68.07535357,-16.53170118,geom,4415,12138,EDIFICIOS,Edificio Zegarra,,,18,,,,,
Feature,edificios.1433,Point,-68.06307282,-16.54437758,geom,4416,12139,EDIFICIOS,Edificio Cavi 1,,,18,,,,,
Feature,edificios.1434,Point,-68.06574155,-16.5419575,geom,4417,12140,EDIFICIOS,Edificio La Laguna,,,18,,,,,
Feature,edificios.1435,Point,-68.12145066,-16.4975414,geom,4418,12141,EDIFICIOS,Edificio Boston,,,2,,,,,
Feature,edificios.1436,Point,-68.11763719,-16.49999658,geom,4419,12142,EDIFICIOS,Edificio María Elena,,,2,,clara.revollo,2016-07-26T01:03:16.900Z,,
Feature,edificios.1437,Point,-68.11906393,-16.49734717,geom,4420,12143,EDIFICIOS,Edificio Pasos Kanki,,,2,,,,,
Feature,edificios.1438,Point,-68.12297017,-16.4982966,geom,4421,12144,EDIFICIOS,Edificio Valeria,,,2,,,,,
Feature,edificios.1439,Point,-68.12458579,-16.4919551,geom,4422,12145,EDIFICIOS,Edificio Virgen de Copacabana Bloque I,,,2,,,,,
Feature,edificios.1440,Point,-68.10859131,-16.52536616,geom,4423,12146,EDIFICIOS,Edificio Esmeralda,,,21,,,,,
Feature,edificios.1441,Point,-68.13008289,-16.5022435,geom,4424,12147,EDIFICIOS,Edificio Entel,,,2,,,,,
Feature,edificios.1442,Point,-68.08017468,-16.54304621,geom,4425,12148,EDIFICIOS,Edificio Gabriela Alejandra,,,18,,,,,
Feature,edificios.1443,Point,-68.1412779,-16.49394089,geom,4426,12149,EDIFICIOS,Edificio Comercial Metropoli,,,1,,,,,
Feature,edificios.1444,Point,-68.14063357,-16.49788624,geom,4427,12150,EDIFICIOS,Edificio Virgen de Rosario,,,1,,,,,
Feature,edificios.1445,Point,-68.13891519,-16.49435572,geom,4428,12151,EDIFICIOS,Edificio Gran Poder,,,1,,,,,
Feature,edificios.1446,Point,-68.11772624,-16.47464861,geom,4429,12153,EDIFICIOS,Edificio Internado Ave María,,,13,,clara.revollo,2016-07-26T01:03:26.970Z,,
Feature,edificios.1447,Point,-68.12415247,-16.5110846,geom,4430,12155,EDIFICIOS,Edificio Intiwara,,,1,,,,,
Feature,edificios.1448,Point,-68.08786306,-16.54904369,geom,4431,12156,EDIFICIOS,Edificio La Florida,,,18,,,,,
Feature,edificios.1449,Point,-68.08972467,-16.54502629,geom,4432,12157,EDIFICIOS,Edificio Las Palmeras,,,18,,,,,
Feature,edificios.1450,Point,-68.08805268,-16.5447597,geom,4433,12158,EDIFICIOS,Edificio Las Piedras,,,18,,,,,
Feature,edificios.1451,Point,-68.08010122,-16.54404798,geom,4434,12159,EDIFICIOS,Edificio Le Bijou,,,18,,,,,
Feature,edificios.1452,Point,-68.08453706,-16.54300623,geom,4435,12160,EDIFICIOS,Edificio Los Jazmines,,,18,,,,,
Feature,edificios.1453,Point,-68.135213,-16.49496263,geom,4436,12161,EDIFICIOS,Edificio Manaco,,,1,,,,,
Feature,edificios.1454,Point,-68.13914259,-16.49438958,geom,4437,12162,EDIFICIOS,Edificio Mar y Sol,,,1,,,,,
Feature,edificios.1455,Point,-68.08468433,-16.54330355,geom,4438,12163,EDIFICIOS,Edificio María Alejandra,,,18,,clara.revollo,2016-07-26T01:03:37.150Z,,
Feature,edificios.1456,Point,-68.11616801,-16.50510719,geom,4439,12164,EDIFICIOS,Edificio Multifamiliar,,,2,,,,,
Feature,edificios.1457,Point,-68.08504742,-16.53024595,geom,4440,12165,EDIFICIOS,Edificio Multifamiliar Trujillo,,,18,,,,,
Feature,edificios.1458,Point,-68.08546591,-16.53028785,geom,4441,12166,EDIFICIOS,Edificio Multifamiliar Heroe,,,18,,,,,
Feature,edificios.1459,Point,-68.09889208,-16.53347354,geom,4442,12167,EDIFICIOS,Edificio Onix,,,21,,,,,
Feature,edificios.1460,Point,-68.13219941,-16.49259292,geom,4443,12168,EDIFICIOS,Edificio Multifamiliar 21 de Agosto,,,11,,,,,
Feature,edificios.1461,Point,-68.14038114,-16.49416203,geom,4444,12169,EDIFICIOS,Edificio Real Illampu,,,1,,,,,
Feature,edificios.1462,Point,-68.14667557,-16.52553795,geom,4445,12170,EDIFICIOS,Edificio Radio FM 100,,,4,,,,,
Feature,edificios.1463,Point,-68.08037354,-16.54370342,geom,4446,12171,EDIFICIOS,Edificio RK Canaima,,,18,,,,,
Feature,edificios.1465,Point,-68.12762419,-16.49674352,geom,4448,12173,EDIFICIOS,Edificio Samuel Alipaz Nieto,,,2,,,,,
Feature,edificios.1466,Point,-68.13873107,-16.49442097,geom,4449,12174,EDIFICIOS,Edificio San Juan,,,1,,,,,
Feature,edificios.1467,Point,-68.1360769,-16.49391771,geom,4450,12175,EDIFICIOS,Edificio San Pablo II,,,1,,,,,
Feature,edificios.1468,Point,-68.12348866,-16.49880033,geom,4451,12176,EDIFICIOS,Edificio Senape,,,2,,,,,
Feature,edificios.1469,Point,-68.14150146,-16.49420442,geom,4452,12179,EDIFICIOS,Edificio Sin Fronteras,,,1,,,,,
Feature,edificios.1470,Point,-68.1349627,-16.49578804,geom,4453,12181,EDIFICIOS,Edificio Terrazas,,,1,,,,,
