type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Zona,properties/CodMacro,properties/CodDistrito,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones,properties/IdTipo,properties/Nombreback
Feature,educacionprivada.58,Point,-68.16069034,-16.46113566,geom,Jaime Paz Zamora,Av. Rene Barrientos Ortuño,SAN FRANCISCO,2,,10,,clara.revollo,2016-06-13T13:57:00.557Z,,12,Unidad Educativa Jaime Paz Zamora
Feature,educacionprivada.59,Point,-68.16581083,-16.47942162,geom,Luis Espinal Camps,Av. Circunvalación,SAID,2,,9,,clara.revollo,2016-06-13T13:57:54.630Z,,4,Colegio Luis Espinal Camps
Feature,educacionprivada.60,Point,-68.16480047,-16.48886076,geom,CETAL,C. Carlos Quintanilla,LA PORTADA,2,,9,,clara.revollo,2016-06-13T13:58:38.560Z,,0,CETAL
Feature,educacionprivada.61,Point,-68.15332619,-16.49009856,geom,San José,C. Virrey Toledo,VILLA VICTORIA,2,,8,,clara.revollo,2016-06-13T14:00:45.537Z,,4,Colegio San José
Feature,educacionprivada.62,Point,-68.14318205,-16.50260843,geom,Adventista,C. Villamil Rada,LOS ANDES,2,,7,,clara.revollo,2016-06-13T14:02:27.183Z,,4,Colegio Adventista
Feature,educacionprivada.63,Point,-68.14813251,-16.48319116,geom,Italo Boliviano,Av. Vasquez,PURA PURA,2,,10,,nhuanquiri,2016-07-01T22:59:39.333Z,,4,Colegio Italo Boliviano
Feature,educacionprivada.64,Point,-68.15095527,-16.48786195,geom,Particular Said,C. Salamanca,PURA PURA,2,,10,,clara.revollo,2016-06-13T14:06:45.810Z,,5,Escuela Particular Said
Feature,educacionprivada.65,Point,-68.14935452,-16.49046556,geom,Santa María Mazzarello,C. Paucarpata,VILLA VICTORIA,2,,8,,clara.revollo,2016-07-01T21:42:03.597Z,,4,Colegio Santa Maria Mazzarello
Feature,educacionprivada.66,Point,-68.15128616,-16.49017618,geom,Ruma High School,C. Rosendo Rojas,VILLA VICTORIA,2,,8,,clara.revollo,2016-06-13T14:10:31.303Z,,4,Colegio Ruma High School
Feature,educacionprivada.67,Point,-68.14114331,-16.49965815,geom,"Alcides Argueda, Washington",C. Venancio Burgoa,GRAN PODER,2,,7,,clara.revollo,2016-06-13T14:13:49.777Z,,5,"Escuela Alcides Argueda, Washington"
Feature,educacionprivada.68,Point,-68.14716235,-16.50018204,geom,Libertad y Ladislao Cabrera,C. Bilbao La Vieja,LOS ANDES,2,,7,,clara.revollo,2016-06-13T14:15:56.867Z,,0,Libertad y Ladislao Cabrera
Feature,educacionprivada.69,Point,-68.15278132,-16.49001078,geom,Iba María Mazzarello,C. Nuestra Señora de la Asunción,VILLA VICTORIA,2,,8,,clara.revollo,2016-06-22T13:09:08.337Z,,0,Iba María Mazzarello
Feature,educacionprivada.70,Point,-68.13707833,-16.4977207,geom,San Fernando,C. Murillo,ALTO SAN PEDRO,1,,6,,clara.revollo,2016-06-13T15:51:37.107Z,,4,Colegio San Fernando
Feature,educacionprivada.71,Point,-68.13621703,-16.49870691,geom,Sagrados Corazones,Av. Mariscal Santa Cruz,CENTRAL,1,,6,,clara.revollo,2016-06-22T13:13:39.423Z,,4,Colegio Sagrados Corazones
Feature,educacionprivada.72,Point,-68.13410848,-16.5026939,geom,Anglo Americano,C. Cañada Strongest,SAN PEDRO,1,,6,,clara.revollo,2016-06-06T20:11:34.673Z,,4,Colegio Anglo Americano
Feature,educacionprivada.73,Point,-68.13772803,-16.50271186,geom,María Auxiliadora,C. Almirante Grau,SAN PEDRO,1,,6,,clara.revollo,2016-06-22T13:14:12.990Z,,4,Colegio María Auxiliadora
Feature,educacionprivada.74,Point,-68.13445868,-16.50390138,geom,Técnico Automotriz,Av. 20 de Octubre,SAN PEDRO,1,,6,,clara.revollo,2016-07-01T20:48:22.470Z,,9,Instituto Tecnico Automotriz
Feature,educacionprivada.75,Point,-68.1337865,-16.50360577,geom,Bautista Canadiense,C. Cañada Strongest,SAN PEDRO,1,,6,,clara.revollo,2016-06-08T15:13:25.253Z,,4,Colegio Bautista Canadiense
Feature,educacionprivada.76,Point,-68.13621963,-16.50426694,geom,Saint Peters,C. Batallón Sucre,SAN PEDRO,1,,6,,clara.revollo,2016-06-13T14:56:24.470Z,,4,Colegio Saint Peters
Feature,educacionprivada.77,Point,-68.12550594,-16.51298828,geom,Pre Escolar Corazón de Jesús,Av. Macario Pinilla,SOPOCACHI,1,,3,,clara.revollo,2016-06-13T15:24:56.830Z,,3, Pre Escolar Corazón de Jesús
Feature,educacionprivada.81,Point,-68.11855527,-16.49809659,geom,Central,Av. Brasil,MIRAFLORES,1,,2,,clara.revollo,2016-06-08T15:26:49.447Z,,13,Universidad Central
Feature,educacionprivada.82,Point,-68.13041911,-16.50813996,geom,Hotelera,Av. Sanchez Lima,SOPOCACHI,1,,3,,clara.revollo,2016-06-22T13:15:54.670Z,,5,Escuela Hotelera
Feature,educacionprivada.83,Point,-68.13195778,-16.50854006,geom,Desmaissieres,C. Agustín Aspiazu,SOPOCACHI,1,,3,,clara.revollo,2016-06-13T15:13:16.317Z,,4,Colegio Desmaissieres
Feature,educacionprivada.85,Point,-68.13240727,-16.51657687,geom,Gregorio Reynolds,C. Mendez Arcos,SOPOCACHI,1,,3,,clara.revollo,2016-06-13T15:22:00.687Z,,4,Colegio Gregorio Reynolds
Feature,educacionprivada.86,Point,-68.1233824,-16.52646204,geom,Escolar Guardería,Av. Mario Mercado,BAJO LLOJETA,1,,4,,clara.revollo,2016-06-13T15:30:32.667Z,,2,Área Escolar Guardería
Feature,educacionprivada.89,Point,-68.12647353,-16.5098705,geom,San Francisco de Asís,Av. 20 de Octubre,SOPOCACHI,1,,3,,clara.revollo,2016-06-06T19:35:13.267Z,,13,Universidad San Francisco de Asís
Feature,educacionprivada.90,Point,-68.14864736,-16.51876796,geom,Samuel Doria Medina,C. Tupiza,Kenani Pata,1,,4,,clara.revollo,2016-06-13T15:33:45.270Z,,12,Unidad Educativa Samuel Doria Medina
Feature,educacionprivada.91,Point,-68.12453065,-16.52721486,geom,Rosario,C. Las Retamas Esq. Las Orquideas,BAJO LLOJETA,1,,4,,clara.revollo,2016-06-13T15:37:03.173Z,,0,Rosario
Feature,educacionprivada.92,Point,-68.13588522,-16.49837024,geom,Sagrado Corazones-CEA,Av. Mariscal Santa Cruz,CENTRAL,1,,6,,clara.revollo,2016-06-13T15:38:44.590Z,,0,CEA Sagrado Corazones
Feature,educacionprivada.93,Point,-68.1406244,-16.49015626,geom,España,C. Illimani,CHALLAPAMPA,3,,11,,clara.revollo,2016-06-13T15:39:39.930Z,,12,Unidad Educativa España
Feature,educacionprivada.96,Point,-68.13964761,-16.49432546,geom,Ingles Católico,C. Murillo,EL ROSARIO,7,,1,,clara.revollo,2016-06-13T15:40:26.573Z,,4,Colegio Ingles Católico
Feature,educacionprivada.100,Point,-68.13126938,-16.4968281,geom,Santa Ana,C. Ramón Loayza,CENTRAL,7,,1,,clara.revollo,2016-06-06T20:01:59.047Z,,4,Colegio Santa Ana
Feature,educacionprivada.101,Point,-68.12060396,-16.49109458,geom,Flori Nicole,C. Cuba,MIRAFLORES,7,,2,,clara.revollo,2016-06-13T15:42:06.923Z,,11,Kinder Flori Nicole
Feature,educacionprivada.102,Point,-68.12422846,-16.49178446,geom,Superior de Policias,C. Abel Iturralde,MIRAFLORES,7,,2,,clara.revollo,2016-06-13T15:43:30.273Z,,5,Escuela Superior de Policias
Feature,educacionprivada.103,Point,-68.12134498,-16.48559803,geom,Técnico Ayacucho,Av. Germán Busch,MIRAFLORES,7,,2,,clara.revollo,2016-07-01T21:39:30.107Z,,4,Colegio Tecnico Ayacucho
