type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/tipo_ofi,properties/Direccion
Feature,entidadesfinancieras.305,Point,-68.08659444,-16.5337,geom,Mutual La Paz,Cajero Automático,AV. RAFAEL PAVON S/N (MEGACENTER)SUPERMERCADOS KETAL
Feature,entidadesfinancieras.306,Point,-68.08707778,-16.53210556,geom,Banco Ganadero S.A.,Cajero Automático,Centro Recreacional Megacenter - Av. Rafael Pabón
Feature,entidadesfinancieras.307,Point,-68.12245696,-16.51098035,geom,Banco Solidario S.A.,Cajero Automático,"Av. Arce #2631, dentro de las instalaciones del Multicine, Zona San Jorge.
"
Feature,entidadesfinancieras.308,Point,-68.1392,-16.49140556,geom,Banco Solidario S.A.,Cajero Automático,"Av. Montes Nro.614, frente a la calle Uruguay â€“ Zona Central"
Feature,entidadesfinancieras.309,Point,-68.08719722,-16.53204444,geom,Banco Solidario S.A.,Cajero Automático,"Av. Rafael Pabón, dentro del patio de comidas de Magacenter, Zona Irpavi."
Feature,entidadesfinancieras.310,Point,-68.13303998,-16.49956516,geom,Banco Unión S.A.,Cajero Automático,"Avenida Camacho Nº 1416, ,zona central"
Feature,entidadesfinancieras.311,Point,-68.1204204,-16.51338599,geom,Banco Unión S.A.,Cajero Automático,AV ARCE NO.2631 Edificio Multicine Planta Baja
Feature,entidadesfinancieras.312,Point,-68.13480833,-16.49649444,geom,Banco Unión S.A.,Cajero Automático,Calle Potosí esq. Socabaya interior Shoping Norte
Feature,entidadesfinancieras.313,Point,-68.13189662,-16.49510601,geom,Banco Unión S.A.,Cajero Automático,c. Indaburo esq. Colon s/n Edif. Contraloria General
Feature,entidadesfinancieras.314,Point,-68.13310387,-16.49955683,geom,Banco Unión S.A.,Cajero Automático,"Av. Camacho No. 1416, zona Central"
Feature,entidadesfinancieras.315,Point,-68.13307053,-16.49955127,geom,Banco Unión S.A.,Cajero Automático,Av. Camacho No. 1416 zona Central
Feature,entidadesfinancieras.316,Point,-68.13330556,-16.49943611,geom,Banco Unión S.A.,Cajero Automático,c. Loayza esq. Camacho N0. 1416
Feature,entidadesfinancieras.317,Point,-68.13533482,-16.49917788,geom,Banco Unión S.A.,Cajero Automático,"Av. Mariscal Santa Cruz s/n esq. Oruro, zona Central Interior Palacio de Comunicaciones"
Feature,entidadesfinancieras.318,Point,-68.13304726,-16.49638303,geom,Banco Unión S.A.,Cajero Automático,"Calle Comercio s/n, entre Ayacucho y Colon Edif Camara de Diputados (Interior)"
Feature,entidadesfinancieras.319,Point,-68.12432233,-16.50883127,geom,Banco Unión S.A.,Cajero Automático,Av.Arce Plaza Isabel La Catolica No. 2479.
Feature,entidadesfinancieras.320,Point,-68.12426938,-16.50883117,geom,Banco Unión S.A.,Cajero Automático,Av.Arce Plaza Isabel La Catolica No. 2479.
Feature,entidadesfinancieras.321,Point,-68.13679081,-16.50301561,geom,Banco Unión S.A.,Cajero Automático,"Calle Zoilo Flores, casi esquina Colombia Nº 1366."
Feature,entidadesfinancieras.322,Point,-68.13677414,-16.50303506,geom,Banco Unión S.A.,Cajero Automático,"Calle Zoilo Flores, casi esquina Colombia Nº 1366."
Feature,entidadesfinancieras.323,Point,-68.11704623,-16.49391824,geom,Banco Unión S.A.,Cajero Automático,"Avenida Tito Yupanqui Nº 1261, esquina Rafael Ballivian."
Feature,entidadesfinancieras.324,Point,-68.07868828,-16.54526378,geom,Banco Unión S.A.,Cajero Automático,Avenida Montenegro Nº1365
