type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/objectid,properties/featureid,properties/TextString,properties/nombalfa,properties/alias,properties/zona,properties/tipovia,properties/om,properties/descripcion
Feature,ubicacionvias2.100,Point,-68.14611715,-16.47872492,geom,2967,419,Pj. C,C,C,Villa 18 de Mayo,pje., ,pje. C (Villa 18 de Mayo)
Feature,ubicacionvias2.101,Point,-68.13206374,-16.48234056,geom,781,420,Cj. 8,8,8,27 de Mayo,cj., ,cj. 8 (27 de Mayo)
Feature,ubicacionvias2.102,Point,-68.14513817,-16.48604122,geom,1671,423,7 Enanos,7 Enanos,7 Enanos,Challapampa,c., ,c. 7 Enanos (Challapampa)
Feature,ubicacionvias2.103,Point,-68.14185531,-16.47876764,geom,3463,431,C. 4,4,4,Vino Tinto,c., ,c. 4 (Vino Tinto)
Feature,ubicacionvias2.104,Point,-68.13906453,-16.48516838,geom,1405,432,Reyes,Reyes,Reyes,Challapampa,c.,433/2013,c. Reyes (Challapampa)
Feature,ubicacionvias2.105,Point,-68.13951537,-16.485617,geom,1689,434,Guayaramerín,Guayaramerín,Guayaramerín,Challapampa,c.,433/2013,c. Guayaramerín (Challapampa)
Feature,ubicacionvias2.106,Point,-68.13667771,-16.47993996,geom,8742,440,Copacabana,Copacabana,Copacabana,Vino Tinto,c., ,c. Copacabana (Vino Tinto)
Feature,ubicacionvias2.107,Point,-68.14638012,-16.48200946,geom,7295,447,C. A,A,A,Vino Tinto,c., ,c. A (Vino Tinto)
Feature,ubicacionvias2.108,Point,-68.1346837,-16.48722757,geom,755,455,San Pedro,San Pedro,San Pedro,Villa de la Cruz,c., ,c. San Pedro (Villa de la Cruz)
Feature,ubicacionvias2.109,Point,-68.13455498,-16.48653726,geom,7938,456,2 de Noviembre,2 de Noviembre,2 de Noviembre,Villa de la Cruz,pje., ,pje. 2 de Noviembre (Villa de la Cruz)
Feature,ubicacionvias2.165,Point,-68.15253754,-16.5066465,geom,8688,706,3 de Agosto,3 de Agosto,3 de Agosto,Chijini,c., ,c. 3 de Agosto (Chijini)
Feature,ubicacionvias2.110,Point,-68.14177587,-16.48536652,geom,7852,459,Departamento Pando,Departamento Pando,Departamento Pando,Challapampa,c.,433/2013,c. Departamento Pando (Challapampa)
Feature,ubicacionvias2.111,Point,-68.13607756,-16.48929696,geom,1424,463,Iruya,Iruya,Iruya,Zona Norte,c., ,c. Iruya (Zona Norte)
Feature,ubicacionvias2.112,Point,-68.1266513,-16.47860125,geom,462,465,Pokeni,Pokeni,Pokeni,Santa Rosa,c., ,c. Pokeni (Santa Rosa)
Feature,ubicacionvias2.113,Point,-68.13010975,-16.48108622,geom,8721,469,C. 4,4,4,Cupilupaca,c., ,c. 4 (Cupilupaca)
Feature,ubicacionvias2.114,Point,-68.12831169,-16.48119699,geom,8826,470,C. 7,7,7,Cupilupaca,c., ,c. 7 (Cupilupaca)
Feature,ubicacionvias2.115,Point,-68.12821919,-16.48680838,geom,726,473,Cj. 1,1,1,San Juan Lazareto,cj., ,cj. 1 (San Juan Lazareto)
Feature,ubicacionvias2.116,Point,-68.14070003,-16.47875049,geom,1511,478,"Escudero, Marcos","Escudero, Marcos",Marcos Escudero,Vino Tinto,c., ,c. Marcos Escudero (Vino Tinto)
Feature,ubicacionvias2.117,Point,-68.13950718,-16.48777229,geom,1034,480,Iténez,Iténez,Iténez,Zona Norte,c.,433/2013,c. Iténez (Zona Norte)
Feature,ubicacionvias2.118,Point,-68.1417248,-16.49093715,geom,2108,494,Tupiza,Tupiza,Tupiza,San Sebastián,cj., ,cj. Tupiza (San Sebastián)
Feature,ubicacionvias2.119,Point,-68.14082822,-16.49013359,geom,2298,498,Illimani,Illimani,Illimani,Challapampa,c.,433/2013,c. Illimani (Challapampa)
Feature,ubicacionvias2.120,Point,-68.14723682,-16.47881816,geom,8270,504,Río Lagarto,Río Lagarto,Río Lagarto,Vino Tinto,c., ,c. Río Lagarto (Vino Tinto)
Feature,ubicacionvias2.121,Point,-68.11464372,-16.4859544,geom,2098,508,C. H,H,H,Pacasa,c., ,c. H (Pacasa)
Feature,ubicacionvias2.122,Point,-68.11196543,-16.48899036,geom,2665,509,C. 2,2,2,Valle Hermoso,c., ,c. 2 (Valle Hermoso)
Feature,ubicacionvias2.123,Point,-68.12407091,-16.48732158,geom,2198,515,Cj. 1,1,1,Miraflores,cj., ,cj. 1 (Miraflores)
Feature,ubicacionvias2.124,Point,-68.12324272,-16.48139667,geom,277,516,"López, Felipe","López, Felipe",Felipe López,Miraflores Alto,c., ,c. Felipe López (Miraflores Alto)
Feature,ubicacionvias2.125,Point,-68.11527381,-16.4879384,geom,845,517,Veintemillas,Veintemillas,Veintemillas,Villa Copacabana,c., ,c. Veintemillas (Villa Copacabana)
Feature,ubicacionvias2.126,Point,-68.11884432,-16.47706811,geom,837,521,San Borja,San Borja,San Borja,Villa Fátima,c., ,c. San Borja (Villa Fátima)
Feature,ubicacionvias2.127,Point,-68.11962005,-16.47723011,geom,1057,522,Virgen del Carmen,Virgen del Carmen,Virgen del Carmen,Villa Fátima,c., ,c. Virgen del Carmen (Villa Fátima)
Feature,ubicacionvias2.128,Point,-68.11792151,-16.48916643,geom,1597,527,"Quispe, Diego","Quispe, Diego",Diego Quispe,Villa Copacabana,c., ,c. Diego Quispe (Villa Copacabana)
Feature,ubicacionvias2.129,Point,-68.12255854,-16.47666205,geom,1088,531,Milluwaya,Milluwaya,Milluwaya,Villa Fátima,c.,054/2004,c. Milluwaya (Villa Fátima)
Feature,ubicacionvias2.130,Point,-68.1239005,-16.47732985,geom,3527,534,C. 2,2,2,Poqueni,c., ,c. 2 (Poqueni)
Feature,ubicacionvias2.131,Point,-68.11094451,-16.47637052,geom,3719,548,C. G,G,G,San Simón,c., ,c. G (San Simón)
Feature,ubicacionvias2.132,Point,-68.11131217,-16.47863275,geom,2172,552,Florida,Florida,Florida,24 de Junio,c., ,c. Florida (24 de Junio)
Feature,ubicacionvias2.133,Point,-68.11064683,-16.47888214,geom,3381,554,C. C,C,C,24 de Junio,c., ,c. C (24 de Junio)
Feature,ubicacionvias2.134,Point,-68.11026667,-16.47974042,geom,7466,556,Unión,Unión,Unión,24 de Junio,c., ,c. Unión (24 de Junio)
Feature,ubicacionvias2.135,Point,-68.10997174,-16.48539716,geom,1247,562,Rosasani,Rosasani,Rosasani,Valle Hermoso,c., ,c. Rosasani (Valle Hermoso)
Feature,ubicacionvias2.136,Point,-68.11095445,-16.48630215,geom,2483,563,C. C,C,C,Valle Hermoso,c., ,c. C (Valle Hermoso)
Feature,ubicacionvias2.137,Point,-68.11176338,-16.48803087,geom,3819,564,C. 4,4,4,Valle Hermoso,c., ,c. 4 (Valle Hermoso)
Feature,ubicacionvias2.138,Point,-68.11518599,-16.48733282,geom,1643,565,Cohoni,Cohoni,Cohoni (c. 1-A),Pacasa,c., ,c. Cohoni (c. 1-A) (Pacasa)
Feature,ubicacionvias2.139,Point,-68.11883304,-16.49103688,geom,2029,567,"Armeta, Felipe","Armeta, Felipe",Felipe Armeta,Villa Copacabana,c., ,c. Felipe Armeta (Villa Copacabana)
Feature,ubicacionvias2.140,Point,-68.0999863,-16.47644346,geom,1701,574,"Becquer, Adolfo G.","Becquer, Adolfo G.",Adolfo G. Becquer,Primavera,c., ,c. Adolfo G. Becquer (Primavera)
Feature,ubicacionvias2.141,Point,-68.0943572,-16.48835845,geom,1044,576,Margarita,Margarita,Las Margarita,Villa Salomé,c., ,c. Las Margarita (Villa Salomé)
Feature,ubicacionvias2.142,Point,-68.09529394,-16.48759986,geom,7571,577,Azucenas,Azucenas,Azucenas,Villa Salomé,c., ,c. Azucenas (Villa Salomé)
Feature,ubicacionvias2.143,Point,-68.09398138,-16.48189723,geom,7896,578,"Junaro, Emma","Junaro, Emma",Emma Junaro,Primavera,c., ,c. Emma Junaro (Primavera)
Feature,ubicacionvias2.144,Point,-68.0955213,-16.48146907,geom,1575,579,"Portocarrero, Nestor","Portocarrero, Nestor",Nestor Portocarrero,Primavera,c., ,c. Nestor Portocarrero (Primavera)
Feature,ubicacionvias2.145,Point,-68.0992658,-16.48985083,geom,1461,586,La Paz de Ayacucho,La Paz de Ayacucho,La Paz de Ayacucho,Villa Salomé,av., ,av. La Paz de Ayacucho (Villa Salomé)
Feature,ubicacionvias2.146,Point,-68.16726773,-16.49497515,geom,441,590,Cj. 9,9,9,Villa Antofagasta,cj., ,cj. 9 (Villa Antofagasta)
Feature,ubicacionvias2.147,Point,-68.16430247,-16.49507591,geom,3845,594,C. 6,6,6,Alto Mcal. Santa Cruz,c., ,c. 6 (Alto Mcal. Santa Cruz)
Feature,ubicacionvias2.148,Point,-68.16715965,-16.49478767,geom,2966,596,C. 1,1,1,Villa Antofagasta,c., ,c. 1 (Villa Antofagasta)
Feature,ubicacionvias2.149,Point,-68.16989809,-16.49172154,geom,3274,597,C. 12,12,12,Villa Antofagasta,c., ,c. 12 (Villa Antofagasta)
Feature,ubicacionvias2.150,Point,-68.16893004,-16.49270358,geom,8473,599,Av. 13,13,13,Villa Antofagasta,av., ,av. 13 (Villa Antofagasta)
Feature,ubicacionvias2.151,Point,-68.17032628,-16.49143762,geom,7510,601,g. 6,6,6,Villa Antofagasta,gradería, ,gradería 6 (Villa Antofagasta)
Feature,ubicacionvias2.152,Point,-68.16503184,-16.49356921,geom,3144,605,Bolivia,Bolivia,Bolivia,La Portada,pje., ,pje. Bolivia (La Portada)
Feature,ubicacionvias2.153,Point,-68.14995924,-16.50101244,geom,8275,611,Niño Jesús,Niño Jesús,Niño Jesús,Obispo Indaburo,pje., ,pje. Niño Jesús (Obispo Indaburo)
Feature,ubicacionvias2.154,Point,-68.15353678,-16.49686078,geom,1799,614,Picada Chaco,Picada Chaco,Picada Chaco,Callampaya,c., ,c. Picada Chaco (Callampaya)
Feature,ubicacionvias2.155,Point,-68.15395942,-16.4921365,geom,294,641,Apumalla,Apumalla,Apumalla,Callampaya,av., ,av. Apumalla (Callampaya)
Feature,ubicacionvias2.156,Point,-68.15650509,-16.49937078,geom,1255,645,"Colque, Gregorio","Colque, Gregorio",Gregorio Colque,El Tejar,c., ,c. Gregorio Colque (El Tejar)
Feature,ubicacionvias2.157,Point,-68.15521626,-16.49961519,geom,429,646,"Echazú, Deterlino","Echazú, Deterlino",Deterlino Echazú,El Tejar,c., ,c. Deterlino Echazú (El Tejar)
Feature,ubicacionvias2.158,Point,-68.15352864,-16.50576892,geom,7310,658,C. 5,5,5,Chijini,c., ,c. 5 (Chijini)
Feature,ubicacionvias2.159,Point,-68.16032801,-16.49959672,geom,3867,674,Retamas,Retamas,Las Retamas,Alto Tejar,c.,143/2014,c. Las Retamas (Alto Tejar)
Feature,ubicacionvias2.160,Point,-68.16607935,-16.49562826,geom,8484,676,C. 4,4,4,Villa Antofagasta,c., ,c. 4 (Villa Antofagasta)
Feature,ubicacionvias2.161,Point,-68.16724727,-16.49142757,geom,3105,686,C. 2,2,2,La Portada,c., ,c. 2 (La Portada)
Feature,ubicacionvias2.162,Point,-68.15790964,-16.50487063,geom,8843,692,C. 2,2,2,Barrio Lindo,c., ,c. 2 (Barrio Lindo)
Feature,ubicacionvias2.163,Point,-68.15786071,-16.50409895,geom,8463,695,5 de Agosto,5 de Agosto,5 de Agosto,Barrio Lindo,av., ,av. 5 de Agosto (Barrio Lindo)
Feature,ubicacionvias2.164,Point,-68.15250193,-16.50601671,geom,7294,697,Viacha,Viacha,Viacha,Chijini,c., ,c. Viacha (Chijini)
Feature,ubicacionvias2.166,Point,-68.15433346,-16.50421362,geom,8612,723,"Quiroga S. C., Marcelo","Quiroga Santa Cruz, Marcelo",Marcelo Quiroga Santa Cruz,Sagrado Corazón de Jesús,c., ,c. Marcelo Quiroga Santa Cruz (Sagrado Corazón de Jesús)
Feature,ubicacionvias2.167,Point,-68.15455319,-16.50593134,geom,1981,725,Cirupampa,Cirupampa,Cirupampa,Sagrado Corazón de Jesús,c., ,c. Cirupampa (Sagrado Corazón de Jesús)
Feature,ubicacionvias2.168,Point,-68.15408617,-16.50657903,geom,2587,727,C. 1,1,1,Chijini,c., ,c. 1 (Chijini)
Feature,ubicacionvias2.169,Point,-68.15196468,-16.50616083,geom,1421,732,Chimba,Chimba,La Chimba,Chijini,c., ,c. La Chimba (Chijini)
Feature,ubicacionvias2.170,Point,-68.15030604,-16.50617414,geom,7932,742,"Bayarri, S.","Bayarri, S.",Cmdte. S. Bayarri,Villa Nuevo Potosí,pje., ,pje. Cmdte. S. Bayarri (Villa Nuevo Potosí)
Feature,ubicacionvias2.171,Point,-68.15776739,-16.50523476,geom,3298,743,C. C,C,C,Barrio Lindo,c., ,c. C (Barrio Lindo)
Feature,ubicacionvias2.172,Point,-68.13697457,-16.49910571,geom,7622,761,Juan  XXIII,Juan  XXIII,Juan  XXIII,Belén,c., ,c. Juan  XXIII (Belén)
Feature,ubicacionvias2.173,Point,-68.13975059,-16.49976367,geom,3169,762,Santiago,Santiago,Santiago,Belén,pje., ,pje. Santiago (Belén)
Feature,ubicacionvias2.174,Point,-68.13391855,-16.49177867,geom,8059,765,"López Ordóñez, M.","López Ordóñez, Manuel",Manuel López Ordóñez,Zona Norte,pje., ,pje. Manuel López Ordóñez (Zona Norte)
