type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Tipo
Feature,centrosreligiosos.55,Point,-68.14470422,-16.44366522,Shape,Iglesia Misión Boliviana Santidad Amigos,Iglesia
Feature,centrosreligiosos.56,Point,-68.14531636,-16.44950146,Shape,Iglesia Adventista del Séptimo Día,Iglesia
Feature,centrosreligiosos.57,Point,-68.14910993,-16.44840272,Shape,Iglesia  Pentecostes Nacional,Iglesia
Feature,centrosreligiosos.58,Point,-68.14916221,-16.45067981,Shape,Iglesia de Jesucristo de los Santos de los Ultimos,Iglesia
Feature,centrosreligiosos.59,Point,-68.12868454,-16.48221039,Shape,Iglesia Evangélica Cristo Viene,Iglesia
Feature,centrosreligiosos.60,Point,-68.12091806,-16.47863328,Shape,Iglesia Evangélica Metodista,Iglesia
Feature,centrosreligiosos.61,Point,-68.12149654,-16.47877741,Shape,Iglesia Cristiana Roca de los Siglos,Iglesia
Feature,centrosreligiosos.62,Point,-68.11938729,-16.47659554,Shape,Iglesia de Jesucristo de los Santos de los Ultimos,Iglesia
Feature,centrosreligiosos.63,Point,-68.12006773,-16.47779061,Shape,Iglesia Evangélica Dios de la Profecía,Iglesia
Feature,centrosreligiosos.64,Point,-68.12085925,-16.4839101,Shape,Iglesia Evangélica Metodista San Pablo,Iglesia
Feature,centrosreligiosos.65,Point,-68.12316719,-16.48372656,Shape,Iglesia Evangélica Jesús es Vida,Iglesia
Feature,centrosreligiosos.66,Point,-68.1293042,-16.4839342,Shape,Iglesia Evangélica Misión Boliviana de S,Iglesia
Feature,centrosreligiosos.67,Point,-68.12790251,-16.48267195,Shape,Iglesia Evangélica de Dios Boliviana,Iglesia
Feature,centrosreligiosos.68,Point,-68.12757328,-16.4790873,Shape,Iglesia de Jesucristo de los Santos de los Ultimos,Iglesia
Feature,centrosreligiosos.69,Point,-68.12759792,-16.47777993,Shape,Iglesia Evangélica los Amigos,Iglesia
Feature,centrosreligiosos.70,Point,-68.12529309,-16.47639053,Shape,Iglesia Evangélica Dios Boliviana,Iglesia
Feature,centrosreligiosos.71,Point,-68.12493974,-16.47561671,Shape,Iglesia Evangélica Poder de Fé,Iglesia
Feature,centrosreligiosos.72,Point,-68.12909941,-16.47401891,Shape,Iglesia Evangélica Getsemani,Iglesia
Feature,centrosreligiosos.73,Point,-68.12991112,-16.47389339,Shape,Iglesia Evangélica Emanuel,Iglesia
Feature,centrosreligiosos.74,Point,-68.10748956,-16.50693294,Shape,Congregacion Casa de Israel,Iglesia
Feature,centrosreligiosos.75,Point,-68.10832191,-16.5008311,Shape,Iglesia de Jesucristo de los Santos de los Ultimos,Iglesia
Feature,centrosreligiosos.76,Point,-68.11655493,-16.49770704,Shape,Iglesia Evangélica de Adoración,Iglesia
Feature,centrosreligiosos.77,Point,-68.11659617,-16.49671987,Shape,Iglesia Evangélica de Adoración,Iglesia
Feature,centrosreligiosos.78,Point,-68.11789472,-16.4949852,Shape,Iglesia de Jesucristo de los Santos de los Ultimos,Iglesia
Feature,centrosreligiosos.79,Point,-68.12295105,-16.49336181,Shape,Iglesia del Nazareno Miraflores,Iglesia
Feature,centrosreligiosos.80,Point,-68.12282364,-16.49648438,Shape,Iglesia de Jesucristo de los Santos de los Ultimos,Iglesia
Feature,centrosreligiosos.81,Point,-68.12405892,-16.49791475,Shape,Iglesia Evangélica Dios es Amor,Iglesia
Feature,centrosreligiosos.82,Point,-68.13074132,-16.50527047,Shape,Iglesia de Jesucristo de los Santos de los Ultimos,Iglesia
Feature,centrosreligiosos.83,Point,-68.13321247,-16.50169419,Shape,Iglesia Evangélica Bautista,Iglesia
Feature,centrosreligiosos.84,Point,-68.13578972,-16.49327135,Shape,Iglesia Mormones,Iglesia
Feature,centrosreligiosos.85,Point,-68.13399142,-16.4973786,Shape,Comunidad Cristiana del Espíritu Santo,Templos
Feature,centrosreligiosos.86,Point,-68.13431732,-16.49948363,Shape,Eklesia Comunidad Cristiana,Templos
Feature,centrosreligiosos.87,Point,-68.13591312,-16.50104325,Shape,Templo Evangelico BEULA,Templos
Feature,centrosreligiosos.88,Point,-68.14847227,-16.49734708,Shape,Iglesia Evangelica Mansion Divina,Iglesia
Feature,centrosreligiosos.89,Point,-68.14435021,-16.50073376,Shape,Iglesia de Jesucristo de los Santos de los Ultimos,Iglesia
Feature,centrosreligiosos.90,Point,-68.14482487,-16.50279,Shape,Iglesia Evangélica de Cristo,Iglesia
Feature,centrosreligiosos.91,Point,-68.14290347,-16.50647762,Shape,Iglesia de Jesucristo de los Santos de los Ultimos,Iglesia
Feature,centrosreligiosos.92,Point,-68.15383026,-16.50650378,Shape,Iglesia Evangélica Nazareno,Iglesia
Feature,centrosreligiosos.93,Point,-68.16200476,-16.50147843,Shape,Iglesia Evangélica Jerusalén Celestial,Iglesia
Feature,centrosreligiosos.94,Point,-68.15522803,-16.50182099,Shape,Iglesia Evangélica de Adoración,Iglesia
Feature,centrosreligiosos.95,Point,-68.15393925,-16.49914149,Shape,Iglesia Evangélica de Adoración,Iglesia
Feature,centrosreligiosos.96,Point,-68.15617314,-16.49937853,Shape,Iglesia Evangélica de Adoración,Iglesia
