type,id,geometry,geometry_name,properties/Nombre,properties/Direccion,properties/Zona,properties/Tipo,properties/ActividadEconomica,properties/MacroDistrito,properties/DistritoChar,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,agenciasviajes.86,,geom,Agencia de viaje,C. Illampu #867,ROSARIO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-07T13:06:47.770Z,,,,
Feature,agenciasviajes.87,,geom,Valtours Ltda.,C. Fernando Guachalla #662,SOPOCACHI,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 3,3,,brenda.zuniga,2016-06-07T13:14:43.087Z,,,,
Feature,agenciasviajes.88,,geom,Gravity Asisted Mountain Biking S.R.L.,C. Linares #940 Galería Pachamama,ROSARIO(COTAHUMA),Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 6,6,,brenda.zuniga,2016-06-07T23:38:55.780Z,"SE REPITE, SÓLO TIENE UNA SUCURSAL",,,
Feature,agenciasviajes.89,,geom,Etno Tours S.R.L.,Av. Hernan Siles Suazo #4363,MALLASA,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,MALLASA,DISTRITO 20,20,,brenda.zuniga,2016-06-07T14:40:39.123Z,,Point,-68.08585674,-16.56969988
Feature,agenciasviajes.90,,geom,Servicios - venta de pasajes,Av. Ballivián e Inofuentes #7854,CALACOTO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,SUR,DISTRITO 19,19,,brenda.zuniga,2016-06-07T14:51:48.127Z,,,,
Feature,agenciasviajes.91,,geom,Vicuña Tours Travel & Bureau Zegarra,C. Sagárnaga,ROSARIO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,6,,brenda.zuniga,2016-06-07T14:52:00.180Z,,Point,-68.13882237,-16.497823
Feature,agenciasviajes.92,,geom,"Late Bolivia el Corazón de Sudamérica""",C. Juan de Vargas #2319,SOPOCACHI,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 3,2,,brenda.zuniga,2016-06-07T15:15:08.227Z,OPERADORA DE TURISMO,Point,-68.1218622,-16.50688475
Feature,agenciasviajes.93,,geom,Confortours Travel Agency,C. Sagárnaga #227,ROSARIO(COTAHUMA),Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 6,6,,brenda.zuniga,2016-06-07T15:19:25.527Z,,,,
Feature,agenciasviajes.94,,geom,Travel Access 1337,C. Sagárnaga #380,ROSARIO,Comercio y Servicios,ACT.AGENCIAS DE VIAJES Y ASISTENCIA A TURISTAS NCP,CENTRO,DISTRITO 1,6,,brenda.zuniga,2016-06-07T15:22:14.190Z,,,,
Feature,agenciasviajes.95,,geom,Bolivian Footprints,C. Illampu #678,ROSARIO,,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-07T15:25:24.680Z,,,,
Feature,agenciasviajes.96,,geom,Agencia de viajes (intermediario),Av. America #183,SAN SEBASTIAN,Comercio y Servicios,ACT.AGENCIAS DE VIAJES Y ASISTENCIA A TURISTAS NCP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-07T15:30:33.103Z,,,,
Feature,agenciasviajes.97,,geom,Vicuña Tours & Travel Bureau Zegarra,C. Antofagasta #2117 Terminal de Buses La Paz,CENTRAL,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-07T15:32:05.087Z,,Point,-68.14120644,-16.48852636
Feature,agenciasviajes.98,,geom,"Operadora de Turismo Receptivo ""Amazing Kingdom""",C. Sagárnaga #189,ROSARIO(COTAHUMA),Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 6,6,,brenda.zuniga,2016-06-07T16:09:20.417Z,,,,
Feature,agenciasviajes.99,,geom,Ar - Bol Tours,C. México #1774,SAN PEDRO BAJO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 6,6,,brenda.zuniga,2016-06-07T15:38:59.627Z,,,,
Feature,agenciasviajes.100,,geom,Madidi Travel S.R.L.,C. Linares #947,ROSARIO(COTAHUMA),Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 6,6,,brenda.zuniga,2016-06-07T16:08:53.553Z,,Point,-68.13805255,-16.49776957
Feature,agenciasviajes.101,,geom,Bolivia Camino Real S.R.L.,C. Illampu #852 Edif.  Hostal Illampu Piso Pb Of. 1,ROSARIO,Comercio y Servicios,ACT.AGENCIAS DE VIAJES Y ASISTENCIA A TURISTAS NCP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-07T16:07:45.783Z,,,,
Feature,agenciasviajes.102,,geom,Julius Tours,C. Illampu Esq. Aroma #716,ROSARIO,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 1,1,,brenda.zuniga,2016-06-07T16:08:23.480Z,,Point,-68.14004977,-16.49566112
Feature,agenciasviajes.103,,geom,Lipiko Tours,Pedro Salazar casi Esq. 6 de agosto,ROSARIO(COTAHUMA),Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 6,3,,brenda.zuniga,2016-06-07T16:07:52.583Z,,Point,-68.12555691,-16.51052299
Feature,agenciasviajes.104,,geom,Lipiko Tours,C. #150,LOS PINOS,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,SUR,DISTRITO 19,18,,brenda.zuniga,2016-06-07T16:07:55.463Z,,Point,-68.07231367,-16.5454121
Feature,agenciasviajes.105,,geom,Llama trek,C. Illampu Esq. Sagárnaga,ROSARIO(COTAHUMA),Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 6,6,,brenda.zuniga,2016-06-07T16:07:58.170Z,,Point,-68.13927007,-16.49830621
Feature,agenciasviajes.106,,geom,Andean Venture Bolivia Ltda.,Av. Sanchez Lima #2512,SOPOCACHI,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 3,0,,brenda.zuniga,2016-06-07T15:52:58.657Z,,,,
Feature,agenciasviajes.107,,geom,Coca Travels,C. Sagárnaga #139,ROSARIO(COTAHUMA),Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,COTAHUMA,DISTRITO 6,6,,brenda.zuniga,2016-06-07T16:19:04.367Z,,,,
Feature,agenciasviajes.108,,geom,Bolivientura S.R.L.,Av. Busch Edif. Los Cisnes #1415,MIRAFLORES,Comercio y Servicios,AGENCIAS DE VIAJE Y ORGANIZACION DE VIAJES EN GRUP,CENTRO,DISTRITO 2,2,,brenda.zuniga,2016-06-07T16:20:08.393Z,,,,
